双AD9767对应管脚（EP4CE30 VER2.0/3.0/4.0/6.1核心板J6),,,
器件名,CH1,CH2,FPGA映射管脚
J6-1,,,5V
J6-2,,,GND
J6-3,,,PIN_A11
J6-4,,,PIN_B12
J6-5,,,GND
J6-6,,,PIN_F11
J6-7,P1_DB13,,PIN_E11
J6-8,P1_DB12,,PIN_E12
J6-9,P1_DB11,,PIN_G13
J6-10,P1_DB10,,PIN_F13
J6-11,P1_DB9,,PIN_E13
J6-12,P1_DB8,,PIN_D13
J6-13,P1_DB7,,PIN_C13
J6-14,P1_DB6,,PIN_B13
J6-15,P1_DB5,,PIN_A13
J6-16,P1_DB4,,PIN_G14
J6-17,P1_DB3,,PIN_F14
J6-18,P1_DB2,,PIN_E14
J6-19,P1_DB1,,PIN_B14
J6-20,P1_DB0,,PIN_A14
J6-21,WRT1,,PIN_G15
J6-22,CLK1,,PIN_F15
J6-23,,CLK2,PIN_E15
J6-24,,WRT2,PIN_D15
J6-25,,P2_DB13,PIN_C15
J6-26,,P2_DB12,PIN_B15
J6-27,,P2_DB11,PIN_A15
J6-28,,P2_DB10,PIN_D17
J6-29,,P2_DB9,PIN_C17
J6-30,,P2_DB8,PIN_B17
J6-31,,P2_DB7,PIN_A17
J6-32,,P2_DB6,PIN_B18
J6-33,,P2_DB5,PIN_A18
J6-34,,P2_DB4,PIN_D19
J6-35,,P2_DB3,PIN_C19
J6-36,,P2_DB2,PIN_B19
J6-37,,P2_DB1,PIN_A19
J6-38,,P2_DB0,PIN_B20
J6-39,,,PIN_A20
J6-40,,,
